shipment_id,ship_date,origin,destination,distance_km,vehicle_type,transport_mode,carrier,vendor_rating,weather,season,is_weekend,is_peak_season,weight_kg,cargo_type,is_fragile,delay_days,risk_score,month
SHP00051,2024-04-29,Chennai,Mumbai,214,Truck,Road,Blue Dart,2,Rain,Spring,0,0,334.9,Industrial,0,4.19,54,2024-04
SHP00052,2023-01-27,Mumbai,Hyderabad,1099,Bike,Road,Delhivery,2,Clear,Winter,0,1,464.5,Industrial,0,3.97,47,2023-01
SHP00053,2023-11-05,Mumbai,Pune,1587,Train,Rail,Ecom Express,2,Clear,Monsoon,1,1,425.2,Industrial,0,5.57,59,2023-11
SHP00054,2024-03-06,Hyderabad,Delhi,2368,Truck,Road,FedEx,3,Fog,Spring,0,0,411.3,Electronics,1,6.41,74,2024-03
SHP00055,2024-07-05,Kolkata,Hyderabad,1825,Bike,Road,DTDC,4,Rain,Summer,0,0,387.4,Apparel,0,4.67,46,2024-07
SHP00056,2024-04-20,Chennai,Ahmedabad,1149,Bike,Road,FedEx,2,Clear,Spring,1,0,285.1,Medical,1,4.5,59,2024-04
SHP00057,2023-12-30,Ahmedabad,Mumbai,1602,Bike,Road,FedEx,1,Fog,Winter,1,1,399.0,Furniture,0,6.4,78,2023-12
SHP00058,2024-07-22,Pune,Chennai,1181,Ship,Sea,Blue Dart,1,Rain,Summer,0,0,379.2,Medical,1,6.63,86,2024-07
SHP00059,2023-09-07,Chennai,Kolkata,2000,Train,Rail,Blue Dart,4,Clear,Monsoon,0,1,153.4,Industrial,0,4.25,37,2023-09
SHP00060,2023-09-15,Kolkata,Bangalore,1458,Train,Rail,FedEx,5,Storm,Monsoon,0,1,115.7,Medical,1,6.61,68,2023-09
SHP00061,2024-08-26,Ahmedabad,Bangalore,838,Bike,Road,Delhivery,1,Rain,Summer,0,0,488.3,Industrial,0,3.79,57,2024-08
SHP00062,2024-06-30,Delhi,Pune,845,Bike,Road,Delhivery,2,Storm,Summer,1,0,63.7,Electronics,1,5.31,76,2024-06
SHP00063,2023-10-19,Delhi,Hyderabad,273,Ship,Sea,DTDC,3,Rain,Monsoon,0,1,235.0,Apparel,0,4.23,48,2023-10
SHP00064,2024-10-06,Mumbai,Hyderabad,1084,Train,Rail,DTDC,1,Clear,Monsoon,1,1,343.4,Perishable,1,6.47,80,2024-10
SHP00065,2024-09-02,Pune,Kolkata,661,Ship,Sea,Delhivery,3,Clear,Monsoon,0,1,395.5,Perishable,1,4.51,53,2024-09
SHP00066,2023-08-01,Mumbai,Ahmedabad,1863,Bike,Road,FedEx,5,Fog,Summer,0,0,312.9,Furniture,0,4.48,40,2023-08
SHP00067,2024-02-23,Bangalore,Delhi,382,Van,Road,Ecom Express,2,Rain,Winter,0,1,225.5,Industrial,0,4.49,56,2024-02
SHP00068,2023-04-28,Chennai,Kolkata,1230,Bike,Road,Delhivery,4,Clear,Spring,0,0,272.5,Medical,1,3.42,39,2023-04
SHP00069,2024-08-05,Kolkata,Hyderabad,660,Bike,Road,Blue Dart,2,Clear,Summer,0,0,460.6,Apparel,0,3.34,43,2024-08
SHP00070,2023-11-27,Delhi,Kolkata,1698,Bike,Road,DTDC,5,Fog,Monsoon,0,1,302.1,Electronics,1,6.36,62,2023-11
SHP00071,2024-06-15,Bangalore,Kolkata,424,Van,Road,FedEx,5,Clear,Summer,1,0,325.9,Furniture,0,2.13,15,2024-06
SHP00072,2023-04-18,Hyderabad,Pune,2064,Truck,Road,DTDC,4,Storm,Spring,0,0,428.9,Furniture,0,7.67,74,2023-04
SHP00073,2023-11-19,Ahmedabad,Delhi,1736,Train,Rail,Ecom Express,3,Fog,Monsoon,1,1,126.6,Electronics,1,7.28,81,2023-11
SHP00074,2024-01-06,Chennai,Hyderabad,2157,Truck,Road,DTDC,5,Fog,Winter,1,1,311.5,Apparel,0,6.91,58,2024-01
SHP00075,2024-05-11,Kolkata,Chennai,1860,Truck,Road,Ecom Express,2,Storm,Spring,1,0,61.2,Medical,1,7.89,96,2024-05
SHP00076,2023-04-27,Mumbai,Bangalore,698,Bike,Road,Ecom Express,5,Clear,Spring,0,0,231.0,Electronics,1,2.56,27,2023-04
SHP00077,2024-04-12,Ahmedabad,Mumbai,680,Train,Rail,DTDC,3,Storm,Spring,0,0,275.9,Apparel,0,5.72,65,2024-04
SHP00078,2023-11-02,Delhi,Chennai,609,Truck,Road,FedEx,3,Fog,Monsoon,0,1,418.8,Industrial,0,5.06,56,2023-11
SHP00079,2023-11-26,Pune,Chennai,2055,Van,Road,FedEx,4,Fog,Monsoon,1,1,434.9,Medical,1,6.5,69,2023-11
SHP00080,2023-02-07,Bangalore,Kolkata,1732,Truck,Road,DTDC,3,Fog,Winter,0,1,63.6,Industrial,0,7.42,74,2023-02
SHP00081,2023-05-28,Delhi,Pune,1409,Truck,Road,Ecom Express,4,Clear,Spring,1,0,205.3,Medical,1,4.97,51,2023-05
SHP00082,2024-10-03,Pune,Bangalore,1135,Bike,Road,Blue Dart,5,Fog,Monsoon,0,1,359.5,Apparel,0,4.18,37,2024-10
SHP00083,2023-04-03,Chennai,Pune,2266,Truck,Road,Delhivery,5,Clear,Spring,0,0,217.3,Electronics,1,5.07,46,2023-04
SHP00084,2023-02-27,Hyderabad,Ahmedabad,461,Train,Rail,Blue Dart,2,Storm,Winter,0,1,147.0,Furniture,0,4.89,65,2023-02
SHP00085,2023-03-22,Bangalore,Mumbai,1814,Van,Road,Ecom Express,2,Fog,Spring,0,0,304.9,Apparel,0,6.13,70,2023-03
SHP00086,2023-01-10,Kolkata,Pune,2438,Van,Road,FedEx,2,Fog,Winter,0,1,449.5,Apparel,0,7.38,79,2023-01
SHP00087,2024-03-10,Kolkata,Pune,1228,Ship,Sea,DTDC,2,Clear,Spring,1,0,345.3,Apparel,0,5.14,56,2024-03
SHP00088,2023-10-30,Kolkata,Pune,1625,Train,Rail,DTDC,1,Rain,Monsoon,0,1,11.5,Medical,1,6.59,86,2023-10
SHP00089,2023-08-24,Kolkata,Ahmedabad,1671,Bike,Road,Ecom Express,1,Clear,Summer,0,0,303.7,Furniture,0,5.29,63,2023-08
SHP00090,2024-01-09,Delhi,Hyderabad,1076,Van,Road,FedEx,1,Clear,Winter,0,1,366.3,Electronics,1,5.24,71,2024-01
SHP00091,2024-05-28,Hyderabad,Kolkata,1258,Bike,Road,Delhivery,4,Rain,Spring,0,0,456.8,Perishable,1,4.52,52,2024-05
SHP00092,2023-08-20,Bangalore,Ahmedabad,2023,Bike,Road,DTDC,3,Clear,Summer,1,0,430.1,Medical,1,6.24,66,2023-08
SHP00093,2023-05-07,Kolkata,Hyderabad,1677,Ship,Sea,DTDC,3,Clear,Spring,1,0,227.7,Medical,1,5.79,63,2023-05
SHP00094,2023-08-15,Hyderabad,Kolkata,1610,Bike,Road,DTDC,1,Rain,Summer,0,0,324.0,Medical,1,6.09,82,2023-08
SHP00095,2024-05-19,Delhi,Chennai,1951,Bike,Road,Delhivery,4,Clear,Spring,1,0,58.5,Perishable,1,5.0,51,2024-05
SHP00096,2023-04-12,Pune,Hyderabad,1908,Bike,Road,Ecom Express,5,Fog,Spring,0,0,416.9,Industrial,0,5.1,44,2023-04
SHP00097,2024-01-07,Ahmedabad,Mumbai,1721,Bike,Road,Delhivery,1,Storm,Winter,1,1,50.1,Medical,1,7.83,100,2024-01
SHP00098,2024-11-09,Ahmedabad,Delhi,1519,Truck,Road,Delhivery,4,Storm,Monsoon,1,1,106.4,Medical,1,8.06,85,2024-11
SHP00099,2024-07-21,Chennai,Delhi,2495,Truck,Road,Delhivery,1,Storm,Summer,1,0,104.0,Perishable,1,9.39,100,2024-07
SHP00100,2023-06-28,Kolkata,Ahmedabad,654,Ship,Sea,Delhivery,1,Storm,Summer,0,0,55.4,Electronics,1,6.48,91,2023-06
SHP00101,2023-09-29,Delhi,Bangalore,589,Truck,Road,Ecom Express,3,Rain,Monsoon,0,1,26.7,Medical,1,4.76,60,2023-09
SHP00102,2023-08-15,Ahmedabad,Kolkata,310,Train,Rail,Ecom Express,4,Storm,Summer,0,0,472.7,Electronics,1,4.79,60,2023-08
SHP00103,2023-04-21,Pune,Chennai,2185,Bike,Road,Blue Dart,4,Clear,Spring,0,0,245.4,Apparel,0,4.77,41,2023-04
SHP00104,2024-06-27,Pune,Kolkata,657,Truck,Road,Ecom Express,2,Storm,Summer,0,0,147.8,Industrial,0,5.85,72,2024-06
SHP00105,2023-12-14,Chennai,Kolkata,1812,Truck,Road,DTDC,1,Rain,Winter,0,1,413.8,Apparel,0,7.38,84,2023-12
SHP00106,2023-03-29,Mumbai,Delhi,1798,Bike,Road,Delhivery,3,Storm,Spring,0,0,47.1,Electronics,1,7.21,85,2023-03
SHP00107,2023-12-29,Mumbai,Kolkata,1576,Van,Road,Ecom Express,5,Clear,Winter,0,1,436.9,Apparel,0,4.47,33,2023-12
SHP00108,2024-05-08,Bangalore,Pune,1228,Ship,Sea,Blue Dart,3,Storm,Spring,0,0,112.5,Electronics,1,6.19,77,2024-05
SHP00109,2024-07-28,Pune,Ahmedabad,1484,Ship,Sea,FedEx,3,Clear,Summer,1,0,487.3,Industrial,0,4.2,43,2024-07
SHP00110,2023-12-26,Kolkata,Bangalore,157,Ship,Sea,Delhivery,3,Clear,Winter,0,1,3.5,Perishable,1,3.14,43,2023-12
SHP00111,2024-03-05,Chennai,Kolkata,2369,Train,Rail,Blue Dart,1,Rain,Spring,0,0,227.1,Perishable,1,6.75,87,2024-03
SHP00112,2023-03-25,Delhi,Pune,2374,Ship,Sea,Delhivery,1,Clear,Spring,1,0,136.4,Medical,1,7.67,89,2023-03
SHP00113,2024-06-08,Chennai,Ahmedabad,1786,Train,Rail,DTDC,5,Fog,Summer,1,0,57.4,Apparel,0,5.8,50,2024-06
SHP00114,2023-02-26,Pune,Kolkata,2479,Train,Rail,Blue Dart,5,Storm,Winter,1,1,4.3,Furniture,0,7.84,69,2023-02
SHP00115,2024-03-16,Delhi,Kolkata,915,Van,Road,FedEx,3,Storm,Spring,1,0,88.3,Apparel,0,5.22,62,2024-03
SHP00116,2023-03-21,Delhi,Kolkata,2338,Bike,Road,Blue Dart,1,Fog,Spring,0,0,431.1,Industrial,0,7.13,83,2023-03
SHP00117,2023-11-29,Pune,Delhi,1808,Ship,Sea,FedEx,4,Fog,Monsoon,0,1,86.4,Industrial,0,5.84,56,2023-11
SHP00118,2023-03-22,Pune,Kolkata,1532,Truck,Road,Delhivery,4,Clear,Spring,0,0,198.2,Furniture,0,4.54,40,2023-03
SHP00119,2023-12-24,Chennai,Ahmedabad,1440,Van,Road,Blue Dart,3,Rain,Winter,1,1,175.9,Medical,1,6.07,70,2023-12
SHP00120,2024-10-05,Mumbai,Bangalore,649,Bike,Road,Ecom Express,2,Rain,Monsoon,1,1,247.3,Industrial,0,4.62,57,2024-10
SHP00121,2024-04-25,Ahmedabad,Delhi,2423,Train,Rail,FedEx,5,Storm,Spring,0,0,221.4,Furniture,0,6.73,61,2024-04
SHP00122,2024-01-13,Delhi,Mumbai,1491,Ship,Sea,DTDC,1,Storm,Winter,1,1,415.9,Electronics,1,8.57,100,2024-01
SHP00123,2024-08-08,Ahmedabad,Pune,419,Ship,Sea,DTDC,5,Fog,Summer,0,0,326.1,Furniture,0,3.73,34,2024-08
SHP00124,2024-03-24,Delhi,Bangalore,303,Train,Rail,Blue Dart,1,Storm,Spring,1,0,495.5,Industrial,0,4.95,72,2024-03
SHP00125,2023-12-13,Pune,Chennai,2191,Ship,Sea,FedEx,2,Storm,Winter,0,1,339.6,Electronics,1,8.81,100,2023-12
SHP00126,2023-03-25,Bangalore,Chennai,319,Bike,Road,FedEx,1,Fog,Spring,1,0,291.6,Perishable,1,3.79,66,2023-03
SHP00127,2024-01-21,Kolkata,Hyderabad,1482,Bike,Road,Ecom Express,4,Rain,Winter,1,1,321.9,Furniture,0,5.7,53,2024-01
SHP00128,2023-08-08,Kolkata,Mumbai,2206,Truck,Road,Blue Dart,4,Storm,Summer,0,0,171.2,Apparel,0,6.44,65,2023-08
SHP00129,2024-07-06,Mumbai,Hyderabad,836,Van,Road,Blue Dart,2,Rain,Summer,1,0,417.6,Industrial,0,4.79,58,2024-07
SHP00130,2024-03-24,Bangalore,Pune,586,Ship,Sea,Delhivery,4,Rain,Spring,1,0,22.3,Furniture,0,4.38,43,2024-03
SHP00131,2024-04-25,Chennai,Bangalore,1022,Train,Rail,DTDC,5,Storm,Spring,0,0,452.0,Perishable,1,4.72,54,2024-04
SHP00132,2023-07-24,Bangalore,Ahmedabad,1854,Train,Rail,Ecom Express,3,Fog,Summer,0,0,400.7,Perishable,1,7.21,80,2023-07
SHP00133,2023-03-27,Mumbai,Chennai,1074,Truck,Road,Ecom Express,4,Storm,Spring,0,0,381.7,Furniture,0,5.43,57,2023-03
SHP00134,2024-02-10,Pune,Delhi,1841,Truck,Road,FedEx,2,Fog,Winter,1,1,251.3,Perishable,1,7.53,88,2024-02
SHP00135,2024-10-27,Mumbai,Ahmedabad,1631,Truck,Road,Blue Dart,3,Rain,Monsoon,1,1,168.0,Perishable,1,6.53,73,2024-10
SHP00136,2023-09-20,Mumbai,Delhi,1985,Van,Road,Ecom Express,4,Fog,Monsoon,0,1,108.2,Perishable,1,7.04,73,2023-09
SHP00137,2023-05-05,Chennai,Bangalore,2297,Ship,Sea,Blue Dart,5,Fog,Spring,0,0,24.4,Apparel,0,5.81,50,2023-05
SHP00138,2024-03-15,Bangalore,Chennai,307,Truck,Road,Ecom Express,4,Clear,Spring,0,0,1.3,Furniture,0,2.07,21,2024-03
SHP00139,2024-07-11,Mumbai,Hyderabad,1035,Ship,Sea,Blue Dart,4,Rain,Summer,0,0,253.9,Industrial,0,4.04,41,2024-07
SHP00140,2023-03-11,Hyderabad,Ahmedabad,1975,Truck,Road,FedEx,4,Storm,Spring,1,0,172.7,Medical,1,7.14,78,2023-03
SHP00141,2024-10-20,Hyderabad,Ahmedabad,474,Ship,Sea,Blue Dart,3,Rain,Monsoon,1,1,88.0,Medical,1,4.37,57,2024-10
SHP00142,2023-07-24,Chennai,Delhi,796,Van,Road,Blue Dart,1,Fog,Summer,0,0,443.0,Furniture,0,4.96,67,2023-07
SHP00143,2024-01-01,Chennai,Bangalore,1320,Ship,Sea,FedEx,4,Fog,Winter,0,1,431.1,Electronics,1,6.27,67,2024-01
SHP00144,2024-05-23,Hyderabad,Mumbai,559,Bike,Road,DTDC,4,Fog,Spring,0,0,346.2,Furniture,0,3.73,40,2024-05
SHP00145,2023-10-28,Bangalore,Hyderabad,2176,Bike,Road,Blue Dart,1,Fog,Monsoon,1,1,160.9,Electronics,1,7.8,97,2023-10
SHP00146,2023-12-28,Ahmedabad,Delhi,1876,Ship,Sea,DTDC,4,Rain,Winter,0,1,307.6,Apparel,0,6.82,62,2023-12
SHP00147,2024-09-14,Delhi,Bangalore,1174,Truck,Road,FedEx,1,Fog,Monsoon,1,1,339.2,Apparel,0,6.53,79,2024-09
SHP00148,2024-01-16,Ahmedabad,Bangalore,1550,Bike,Road,Ecom Express,4,Clear,Winter,0,1,222.2,Electronics,1,4.61,48,2024-01
SHP00149,2023-04-27,Kolkata,Mumbai,2400,Van,Road,DTDC,5,Storm,Spring,0,0,13.4,Perishable,1,6.92,70,2023-04
SHP00150,2024-05-17,Kolkata,Pune,2350,Truck,Road,DTDC,3,Storm,Spring,0,0,100.5,Perishable,1,8.37,93,2024-05
SHP00151,2023-03-08,Hyderabad,Pune,353,Train,Rail,Blue Dart,2,Fog,Spring,0,0,275.2,Furniture,0,4.35,57,2023-03
SHP00152,2024-05-20,Bangalore,Mumbai,763,Bike,Road,Blue Dart,5,Rain,Spring,0,0,13.6,Industrial,0,2.51,23,2024-05
SHP00153,2024-02-12,Mumbai,Chennai,2394,Bike,Road,Ecom Express,4,Rain,Winter,0,1,499.8,Medical,1,6.46,67,2024-02
SHP00154,2024-11-27,Ahmedabad,Chennai,1727,Ship,Sea,FedEx,1,Rain,Monsoon,0,1,258.9,Perishable,1,7.42,92,2024-11
SHP00155,2023-06-06,Mumbai,Hyderabad,2308,Ship,Sea,DTDC,2,Rain,Summer,0,0,152.4,Perishable,1,7.57,87,2023-06
SHP00156,2024-10-02,Kolkata,Mumbai,1467,Ship,Sea,FedEx,3,Clear,Monsoon,0,1,151.8,Industrial,0,5.47,53,2024-10
SHP00157,2023-01-30,Delhi,Ahmedabad,432,Ship,Sea,Delhivery,2,Rain,Winter,0,1,41.1,Medical,1,5.3,70,2023-01
SHP00158,2023-09-08,Kolkata,Chennai,913,Ship,Sea,DTDC,4,Clear,Monsoon,0,1,402.4,Medical,1,4.13,44,2023-09
SHP00159,2024-05-10,Ahmedabad,Chennai,1713,Bike,Road,Blue Dart,4,Clear,Spring,0,0,232.5,Furniture,0,3.44,31,2024-05
SHP00160,2024-04-22,Hyderabad,Mumbai,1357,Bike,Road,FedEx,4,Rain,Spring,0,0,61.7,Apparel,0,3.97,40,2024-04
SHP00161,2023-06-13,Pune,Mumbai,1065,Van,Road,FedEx,1,Clear,Summer,0,0,406.8,Industrial,0,4.12,54,2023-06
SHP00162,2023-04-03,Ahmedabad,Delhi,702,Train,Rail,DTDC,5,Fog,Spring,0,0,472.6,Industrial,0,3.34,31,2023-04
SHP00163,2024-09-03,Kolkata,Chennai,1922,Van,Road,Blue Dart,2,Storm,Monsoon,0,1,441.2,Medical,1,7.84,95,2024-09
SHP00164,2023-02-16,Pune,Bangalore,83,Truck,Road,FedEx,4,Rain,Winter,0,1,200.6,Industrial,0,2.87,32,2023-02
SHP00165,2024-07-17,Ahmedabad,Pune,2351,Van,Road,Blue Dart,3,Storm,Summer,0,0,140.2,Industrial,0,7.52,79,2024-07
SHP00166,2024-09-08,Bangalore,Mumbai,446,Train,Rail,Ecom Express,3,Storm,Monsoon,1,1,254.8,Industrial,0,5.24,62,2024-09
SHP00167,2024-09-12,Ahmedabad,Mumbai,214,Truck,Road,FedEx,1,Rain,Monsoon,0,1,446.6,Perishable,1,4.8,73,2024-09
SHP00168,2024-07-30,Ahmedabad,Hyderabad,715,Train,Rail,Ecom Express,5,Storm,Summer,0,0,150.2,Electronics,1,5.2,58,2024-07
SHP00169,2024-04-30,Delhi,Hyderabad,1558,Bike,Road,Ecom Express,1,Fog,Spring,0,0,133.1,Medical,1,6.46,86,2024-04
SHP00170,2024-11-28,Bangalore,Ahmedabad,2415,Van,Road,Delhivery,1,Fog,Monsoon,0,1,121.5,Industrial,0,7.52,86,2024-11
SHP00171,2023-07-28,Bangalore,Kolkata,500,Van,Road,FedEx,1,Fog,Summer,0,0,205.5,Industrial,0,5.38,70,2023-07
SHP00172,2024-01-21,Ahmedabad,Kolkata,305,Van,Road,Ecom Express,5,Rain,Winter,1,1,157.2,Perishable,1,3.34,38,2024-01
SHP00173,2023-10-13,Chennai,Mumbai,1932,Ship,Sea,FedEx,3,Storm,Monsoon,0,1,279.3,Perishable,1,9.37,100,2023-10
SHP00174,2023-05-05,Kolkata,Bangalore,1233,Van,Road,DTDC,4,Storm,Spring,0,0,287.0,Industrial,0,5.29,56,2023-05
SHP00175,2023-03-22,Kolkata,Pune,1605,Train,Rail,FedEx,3,Rain,Spring,0,0,173.5,Apparel,0,4.62,51,2023-03
SHP00176,2024-09-22,Bangalore,Delhi,926,Van,Road,Ecom Express,5,Storm,Monsoon,1,1,370.6,Perishable,1,5.26,58,2024-09
SHP00177,2023-12-05,Mumbai,Kolkata,1043,Truck,Road,Delhivery,5,Rain,Winter,0,1,358.8,Electronics,1,4.9,49,2023-12
SHP00178,2023-10-20,Kolkata,Bangalore,2304,Van,Road,DTDC,4,Fog,Monsoon,0,1,323.1,Electronics,1,7.05,73,2023-10
SHP00179,2024-02-11,Bangalore,Delhi,2401,Van,Road,Delhivery,5,Clear,Winter,1,1,394.1,Perishable,1,6.92,59,2024-02
SHP00180,2024-04-10,Hyderabad,Bangalore,1235,Truck,Road,Ecom Express,1,Storm,Spring,0,0,494.6,Industrial,0,6.77,85,2024-04
